Outlet_ID,Outlet_Size,Cooler_Count,Outlet_Type,__reject_reason__,__source_dataset__
OUT_00025,,0,Grocery,null_mandatory_field,outlet_master
OUT_00071,,5,Grocery,null_mandatory_field,outlet_master
OUT_00073,,1,Hotel,null_mandatory_field,outlet_master
OUT_00143,,2,Hotel,null_mandatory_field,outlet_master
OUT_00184,,1,Hotel,null_mandatory_field,outlet_master
OUT_00512,,4,Bakry,null_mandatory_field,outlet_master
OUT_00535,,2,Hotel,null_mandatory_field,outlet_master
OUT_00571,,2,Eatery,null_mandatory_field,outlet_master
OUT_00743,,1,Grocery,null_mandatory_field,outlet_master
OUT_01139,,1,Grocery,null_mandatory_field,outlet_master
OUT_01170,,1,Hotel,null_mandatory_field,outlet_master
OUT_01209,,5,SMMT,null_mandatory_field,outlet_master
OUT_01435,,2,Kiosk,null_mandatory_field,outlet_master
OUT_01443,,1,SMMT,null_mandatory_field,outlet_master
OUT_01687,,0,Hotel,null_mandatory_field,outlet_master
OUT_01706,,0,SMMT,null_mandatory_field,outlet_master
OUT_01871,,2,Hotel,null_mandatory_field,outlet_master
OUT_01935,,0,Hotel,null_mandatory_field,outlet_master
OUT_01950,,2,Eatery,null_mandatory_field,outlet_master
OUT_02052,,0,Kiosk,null_mandatory_field,outlet_master
OUT_02202,,0,Bakery,null_mandatory_field,outlet_master
OUT_02264,,2,Bakery,null_mandatory_field,outlet_master
OUT_02333,,1,Eatery,null_mandatory_field,outlet_master
OUT_02337,,2,Bakery,null_mandatory_field,outlet_master
OUT_02434,,0,Hotel,null_mandatory_field,outlet_master
OUT_02466,,2,Bakery,null_mandatory_field,outlet_master
OUT_02738,,0,Bakery,null_mandatory_field,outlet_master
OUT_02850,,1,Eatery,null_mandatory_field,outlet_master
OUT_02884,,2, Eatery ,null_mandatory_field,outlet_master
OUT_02907,,0,Eatery,null_mandatory_field,outlet_master
OUT_02946,,2,Pharmacy,null_mandatory_field,outlet_master
OUT_03063,,0,SMMT,null_mandatory_field,outlet_master
OUT_03192,,2,Grocery,null_mandatory_field,outlet_master
OUT_03310,,1,SMMT,null_mandatory_field,outlet_master
OUT_03397,,0,Grocery,null_mandatory_field,outlet_master
OUT_03417,,1,Eatery,null_mandatory_field,outlet_master
OUT_03469,,3,SMMT,null_mandatory_field,outlet_master
OUT_03750,,2,Bakery,null_mandatory_field,outlet_master
OUT_03852,,1,Bakery,null_mandatory_field,outlet_master
OUT_04116,,2,Kiosk,null_mandatory_field,outlet_master
OUT_04183,,1,Grocery,null_mandatory_field,outlet_master
OUT_04211,,1,Pharmacy,null_mandatory_field,outlet_master
OUT_04220,,2,Pharmacy,null_mandatory_field,outlet_master
OUT_04255,,2,Bakery,null_mandatory_field,outlet_master
OUT_04406,,3,Grocery,null_mandatory_field,outlet_master
OUT_04477,,0,Kiosk,null_mandatory_field,outlet_master
OUT_04481,,0,Grocery,null_mandatory_field,outlet_master
OUT_04501,,0,Hotel,null_mandatory_field,outlet_master
